,icao,iata,name,shortName,municipalityName,countryCode,lat,lon,from,averageDailyFlights,dist,co2KGPerPerson,percentageco2(%)
162,KMIA,MIA,"Miami, Miami",,Miami,US,25.7932,-80.2906,JFK,17.57,1753.78,201.68,5.557852036795142
163,KSFO,SFO,"San Francisco, San Francisco",,San Francisco,US,37.619,-122.375,JFK,17.11,4161.9,478.62,13.1897022106847
164,EGLL,LHR,"London Heathrow, London",Heathrow,London,GB,51.4706,-0.461941,JFK,16.86,5554.38,638.75,17.602528701422536
165,KMCO,MCO,"Orlando, Orlando",,Orlando,US,28.4294,-81.309,JFK,14.73,1519.4,174.73,4.815170003913204
166,KRDU,RDU,"Raleigh Durham, Raleigh/Durham",Raleigh Durham,Raleigh/Durham,US,35.8776,-78.7875,JFK,13.86,686.63,78.96,2.175961904132013
167,KATL,ATL,"Hartsfield Jackson Atlanta, Atlanta",Hartsfield Jackson,Atlanta,US,33.6367,-84.4281,JFK,12.0,1222.99,140.64,3.8757254584235854
168,KFLL,FLL,"Fort Lauderdale Hollywood, Fort Lauderdale",Hollywood,Fort Lauderdale,US,26.0726,-80.1527,JFK,9.99,1720.04,197.8,5.450927870280043
169,KBUF,BUF,"Buffalo Niagara, Buffalo",Niagara,Buffalo,US,42.9405,-78.7322,JFK,8.59,484.42,55.71,1.5352436382876702
170,LFPG,CDG,"Charles de Gaulle, Paris",Charles de Gaulle,Paris,FR,49.0128,2.549999,JFK,8.29,5849.17,672.65,18.536737269685897
171,KDCA,DCA,"Ronald Reagan Washington National, District of Columbia",Ronald Reagan Washington National,District of Columbia,US,38.8521,-77.0377,JFK,8.0,342.76,39.42,1.086327485573505
172,KSEA,SEA,"Seattle Tacoma, Seattle",Tacoma,Seattle,US,47.449,-122.309,JFK,8.0,3896.75,448.13,12.349465654745174
173,TJSJ,SJU,"Luis Munoz Marin, San Juan",Luis Munoz Marin,San Juan,PR,18.4394,-66.0018,JFK,7.73,2571.18,295.69,8.148558452796289
174,MDSD,SDQ,"Las Américas, Santo Domingo City",Las Américas,Santo Domingo City,DO,18.4297,-69.6689,JFK,7.71,2493.42,286.74,7.9019163676648105
175,MDST,STI,"Cibao, Santiago",Cibao,Santiago,DO,19.4061,-70.6047,JFK,7.57,2373.48,272.95,7.521894652138209
176,KORD,ORD,"Chicago O'Hare, Chicago",O'Hare,Chicago,US,41.9786,-87.9048,JFK,7.29,1190.87,136.95,3.774037269134741
177,KCLT,CLT,"Charlotte Douglas, Charlotte",Douglas,Charlotte,US,35.214,-80.9431,JFK,7.21,871.02,100.17,2.7604623092313036
178,LIRF,FCO,"Leonardo da Vinci–Fiumicino, Rome",Leonardo da Vinci–Fiumicino,Rome,IT,41.8045,12.2508,JFK,7.14,6883.71,791.63,21.81556132431643
179,KBNA,BNA,"Nashville, Nashville",,Nashville,US,36.1245,-86.6782,JFK,6.82,1232.0,141.68,3.904385544293612
180,KPBI,PBI,"Palm Beach, West Palm Beach",Palm Beach,West Palm Beach,US,26.6832,-80.0956,JFK,6.74,1654.15,190.23,5.2423155144761
181,KDTW,DTW,"Detroit Metropolitan Wayne County, Detroit",Metropolitan Wayne County,Detroit,US,42.2124,-83.3534,JFK,6.59,818.72,94.15,2.59456450448365
182,KCMH,CMH,"Port Columbus, Columbus",Port,Columbus,US,39.998,-82.8919,JFK,6.44,777.55,89.42,2.4642162293247796
183,MMMX,MEX,"Licenciado Benito Juarez, Mexico City",Licenciado Benito Juarez,Mexico City,MX,19.4363,-99.0721,JFK,6.43,3363.88,386.85,10.660725210403612
184,KLAS,LAS,"McCarran, Las Vegas",McCarran,Las Vegas,US,36.0801,-115.152,JFK,6.36,3617.74,416.04,11.465136659005607
185,MMUN,CUN,"Cancún, Cancún",,Cancún,MX,21.0365,-86.8771,JFK,6.33,2502.24,287.76,7.930025298037336
186,KIND,IND,"Indianapolis, Indianapolis",,Indianapolis,US,39.7173,-86.2944,JFK,6.02,1070.02,123.05,3.3909841983718865
187,KDFW,DFW,"Dallas Fort Worth, Dallas-Fort Worth",Dallas Fort Worth,Dallas-Fort Worth,US,32.8968,-97.038,JFK,5.9,2238.76,257.46,7.095024719324063
188,CYYZ,YYZ,"Lester B. Pearson, Toronto",Lester B. Pearson,Toronto,CA,43.6772,-79.6306,JFK,5.82,589.38,67.78,1.8678659810292277
189,KTPA,TPA,"Tampa, Tampa",,Tampa,US,27.9755,-82.5332,JFK,5.79,1617.65,186.03,5.1265728600009925
190,KAUS,AUS,"Austin Bergstrom, Austin",Bergstrom,Austin,US,30.194498,-97.6699,JFK,5.64,2448.62,281.59,7.7599938270584286
191,KBTV,BTV,"Burlington, Burlington",,Burlington,US,44.4719,-73.1533,JFK,5.58,428.6,49.29,1.3583227235900064
192,MKJS,MBJ,"Sangster, Montego Bay",Sangster,Montego Bay,JM,18.5037,-77.9134,JFK,5.57,2485.71,285.86,7.877665525774788
193,KROC,ROC,"Greater Rochester, Rochester",Greater,Rochester,US,43.1189,-77.6724,JFK,5.57,424.44,48.81,1.3450949916499944
194,KPHX,PHX,"Phoenix Sky Harbor, Phoenix",Sky Harbor,Phoenix,US,33.4343,-112.012,JFK,5.47,3465.47,398.53,10.982600020943908
195,KSLC,SLC,"Salt Lake City, Salt Lake City",,Salt Lake City,US,40.7884,-111.978,JFK,5.4,3201.77,368.2,10.146772708984386
196,KCVG,CVG,"Cincinnati Northern Kentucky, Cincinnati",Northern Kentucky,Cincinnati,US,39.0488,-84.6678,JFK,5.29,947.98,109.02,3.004348616875279
197,KSAN,SAN,"San Diego, San Diego",,San Diego,US,32.7336,-117.19,JFK,5.16,3936.35,452.68,12.47485353042654
198,KCLE,CLE,"Cleveland Hopkins, Cleveland",Hopkins,Cleveland,US,41.4117,-81.8498,JFK,5.14,683.96,78.66,2.167694571669505
199,KMSP,MSP,"Minneapolis-St Paul /Wold-Chamberlain, Minneapolis",St Paul /Wold-Chamberlain,Minneapolis,US,44.882,-93.2218,JFK,5.14,1655.19,190.35,5.245622447461103
200,KCHS,CHS,"Charleston Air Force Base-, Charleston",Air Force Base,Charleston,US,32.8986,-80.0405,JFK,5.01,1024.45,117.81,3.246581458026753
201,KJAX,JAX,"Jacksonville, Jacksonville",,Jacksonville,US,30.4941,-81.6879,JFK,5.0,1333.42,153.34,4.225709199336409
202,KORF,ORF,"Norfolk, Norfolk",,Norfolk,US,36.8946,-76.2012,JFK,4.93,466.15,53.61,1.4773723110501167
203,EGKK,LGW,"London Gatwick, London",Gatwick,London,GB,51.1481,-0.190277,JFK,4.86,5583.58,642.11,17.695122825002617
204,MDPC,PUJ,"Punta Cana, Punta Cana",,Punta Cana,DO,18.567398,-68.3634,JFK,4.86,2501.18,287.64,7.9267183650523325
205,KRSW,RSW,"Southwest Florida, Fort Myers",Southwest Florida,Fort Myers,US,26.5362,-81.7552,JFK,4.43,1728.95,198.83,5.479312378401319
206,KPIT,PIT,"Pittsburgh, Pittsburgh",,Pittsburgh,US,40.4915,-80.2329,JFK,4.42,546.75,62.88,1.7328328841416032
207,EHAM,AMS,"Amsterdam Schiphol, Amsterdam",Schiphol,Amsterdam,NL,52.3086,4.763889,JFK,4.14,5863.18,674.27,18.581380864983437
208,SKBO,BOG,"El Dorado, Bogotá",El Dorado,Bogotá,CO,4.70159,-74.1469,JFK,4.0,3981.02,457.82,12.616500493284171
209,MYNN,NAS,"Lynden Pindling, Nassau",Lynden Pindling,Nassau,BS,25.039,-77.4662,JFK,4.0,1764.0,202.86,5.590370211147672
210,LEMD,MAD,"Adolfo Suárez Madrid–Barajas, Madrid",Adolfo Suárez –Barajas,Madrid,ES,40.4936,-3.56676,JFK,3.86,5775.31,664.16,18.30277176099693
211,KDEN,DEN,"Denver, Denver",,Denver,US,39.8617,-104.673,JFK,3.85,2616.4,300.89,8.291858882146421
212,LIMC,MXP,"Malpensa, Milan",Malpensa,Milan,IT,45.6306,8.72811,JFK,3.85,6429.56,739.4,20.37621874259385
213,KSAV,SAV,"Savannah Hilton Head, Savannah",Hilton Head,Savannah,US,32.1276,-81.2021,JFK,3.61,1154.93,132.82,3.660223658900886
214,KSYR,SYR,"Syracuse Hancock, Syracuse",Hancock,Syracuse,US,43.1112,-76.1063,JFK,3.53,335.54,38.59,1.0634545324272338
215,TNCA,AUA,"Queen Beatrix, Oranjestad",Queen Beatrix,Oranjestad,AW,12.501399,-70.0152,JFK,3.43,3139.85,361.08,9.950561351874205
216,LSZH,ZRH,"Kloten, Zurich",Kloten,Zurich,CH,47.4647,8.549169,JFK,3.29,6326.19,727.51,20.048556799329795
217,LLBG,TLV,"Ben Gurion, Tel Aviv Yafo",Ben Gurion,Tel Aviv Yafo,IL,32.0114,34.8867,JFK,3.14,9136.78,1050.73,28.955780794435537
218,KIAD,IAD,"Washington Dulles, District of Columbia",Washington Dulles,District of Columbia,US,38.9445,-77.4558,JFK,3.13,366.99,42.2,1.1629380997260759
219,RKSI,ICN,"Incheon, Seoul",Incheon,Seoul,KR,37.4691,126.451,JFK,3.07,11113.44,1278.05,35.220214179026335
220,PANC,ANC,"Ted Stevens Anchorage, Anchorage",Ted Stevens,Anchorage,US,61.1744,-149.996,JFK,3.0,5448.28,626.55,17.26632384794722
221,MKJP,KIN,"Norman Manley, Kingston",Norman Manley,Kingston,JM,17.9357,-76.7875,JFK,3.0,2533.37,291.34,8.028682132089926
